nome,model,file,MAE (erro entre a série inteira e a predição de todos os segmentos),RMSE (erro entre a série inteira e a predição de todos os segmentos),complexidade (média dos segmentos),desvio padrão complexidade,tempo,ganho médio de entropia por corte,numero de segmentos
Full_0_5dias_umidrelmed2m_2015-12-26 _ 2015-12-31.csv,full,5dias_umidrelmed2m_2015-12-26 _ 2015-12-31.csv,3.266187338902089,4.40381530413236,10.0,0.0,47.6737909859512,0.0,1
PageHinkley_0_5dias_umidrelmed2m_2015-12-26 _ 2015-12-31.csv,PageHinkley,5dias_umidrelmed2m_2015-12-26 _ 2015-12-31,2.185233028875372,2.849915426794617,23.333333333333332,7.363574011458174,120.75174036296085,-0.28585310854193935,3
PeriodicCut_0_5dias_umidrelmed2m_2015-12-26 _ 2015-12-31.csv,PeriodicCut,5dias_umidrelmed2m_2015-12-26 _ 2015-12-31,1.5267568487413754,2.042925277938957,26.4,8.357032966310472,195.63620674796402,-0.3647342011500885,5
RandomCut_1_0_5dias_umidrelmed2m_2015-12-26 _ 2015-12-31.csv,RandomCut_1,5dias_umidrelmed2m_2015-12-26 _ 2015-12-31,1.919740689866985,2.610937980610103,24.5,7.794228634059948,160.86516104405746,-0.2965646354834058,4
RandomCut_2_0_5dias_umidrelmed2m_2015-12-26 _ 2015-12-31.csv,RandomCut_2,5dias_umidrelmed2m_2015-12-26 _ 2015-12-31,1.8876060032799182,2.4758285796170973,21.5,4.153311931459037,160.39798029197846,-0.13494978489919354,4
RandomCut_3_0_5dias_umidrelmed2m_2015-12-26 _ 2015-12-31.csv,RandomCut_3,5dias_umidrelmed2m_2015-12-26 _ 2015-12-31,1.9814341764364984,2.6087472808694008,28.0,6.260990336999411,197.00574327202048,-0.5479505024783399,5
TopDownReg_48_50_0_5dias_umidrelmed2m_2015-12-26 _ 2015-12-31.csv,TopDownReg_48_50,5dias_umidrelmed2m_2015-12-26 _ 2015-12-31,1.1056591815263312,1.5545113469829301,21.142857142857142,5.054801717986894,272.26474517199676,-0.14405433021764522,7
TopDownIndex_25_0_5dias_umidrelmed2m_2015-12-26 _ 2015-12-31.csv,TopDownIndex_25,5dias_umidrelmed2m_2015-12-26 _ 2015-12-31,0.21910609243285425,0.4298816305776435,6.435483870967742,9.869504951702254,4124.797252712888,-0.16397911193362494,124
Full_0_5dias_umidrelmed2m_2019-08-08 _ 2019-08-13.csv,full,5dias_umidrelmed2m_2019-08-08 _ 2019-08-13.csv,7.924026220329246,9.746448545227825,11.0,0.0,45.20953809900675,0.0,1
PageHinkley_0_5dias_umidrelmed2m_2019-08-08 _ 2019-08-13.csv,PageHinkley,5dias_umidrelmed2m_2019-08-08 _ 2019-08-13,4.393415422922188,5.689461281026905,18.333333333333332,6.548960901462833,116.746780675021,-0.5676776639643588,3
PeriodicCut_0_5dias_umidrelmed2m_2019-08-08 _ 2019-08-13.csv,PeriodicCut,5dias_umidrelmed2m_2019-08-08 _ 2019-08-13,3.8967934820160663,5.357383963456244,16.0,3.559026084010437,117.21906235604547,-0.6285072110969836,3
RandomCut_1_0_5dias_umidrelmed2m_2019-08-08 _ 2019-08-13.csv,RandomCut_1,5dias_umidrelmed2m_2019-08-08 _ 2019-08-13,2.988084322082406,4.111726059089327,21.5,5.251983752196243,224.29195653798524,-0.3056386728412438,6
RandomCut_2_0_5dias_umidrelmed2m_2019-08-08 _ 2019-08-13.csv,RandomCut_2,5dias_umidrelmed2m_2019-08-08 _ 2019-08-13,3.7505803475117756,5.650638035404487,23.4,6.343500610861482,187.40177626896184,-0.24409389952191884,5
RandomCut_3_0_5dias_umidrelmed2m_2019-08-08 _ 2019-08-13.csv,RandomCut_3,5dias_umidrelmed2m_2019-08-08 _ 2019-08-13,3.099794861706383,4.122995500835857,27.0,9.974968671630002,155.0432729080785,-0.9033085048792459,4
TopDownReg_48_50_0_5dias_umidrelmed2m_2019-08-08 _ 2019-08-13.csv,TopDownReg_48_50,5dias_umidrelmed2m_2019-08-08 _ 2019-08-13,2.522100604743214,3.347925217297829,28.833333333333332,5.580223014261069,221.69216734007932,-0.15594000028077065,6
TopDownIndex_25_0_5dias_umidrelmed2m_2019-08-08 _ 2019-08-13.csv,TopDownIndex_25,5dias_umidrelmed2m_2019-08-08 _ 2019-08-13,0.845472567284761,2.0020486020202517,3.1875,6.723681975343239,4939.084401845932,-0.37332961186220875,144
Full_0_5dias_umidrelmed2m_2016-09-22 _ 2016-09-27.csv,full,5dias_umidrelmed2m_2016-09-22 _ 2016-09-27.csv,7.102267281976869,8.800667130603143,16.0,0.0,48.956091537023894,0.0,1
PageHinkley_0_5dias_umidrelmed2m_2016-09-22 _ 2016-09-27.csv,PageHinkley,5dias_umidrelmed2m_2016-09-22 _ 2016-09-27,3.0498695063004444,4.000117084516476,24.142857142857142,6.05754715631834,278.72927589004394,-0.1520632754616508,7
PeriodicCut_0_5dias_umidrelmed2m_2016-09-22 _ 2016-09-27.csv,PeriodicCut,5dias_umidrelmed2m_2016-09-22 _ 2016-09-27,2.5502499774036282,3.8637708606390513,22.857142857142858,7.735420783246219,275.7732235779986,-0.7003472871913409,7
RandomCut_1_0_5dias_umidrelmed2m_2016-09-22 _ 2016-09-27.csv,RandomCut_1,5dias_umidrelmed2m_2016-09-22 _ 2016-09-27,2.4818380564269464,3.208319622459523,26.5,6.626965117357014,244.73495228297543,-0.41668568618870677,6
RandomCut_2_0_5dias_umidrelmed2m_2016-09-22 _ 2016-09-27.csv,RandomCut_2,5dias_umidrelmed2m_2016-09-22 _ 2016-09-27,4.85841911786388,6.318775688565644,24.75,8.954747344286158,164.54999328497797,-0.3015705267512672,4
RandomCut_3_0_5dias_umidrelmed2m_2016-09-22 _ 2016-09-27.csv,RandomCut_3,5dias_umidrelmed2m_2016-09-22 _ 2016-09-27,2.1641347887528295,2.8275579132750064,22.125,10.717246614686069,317.9361281370511,-0.08031789652567868,8
TopDownReg_48_50_0_5dias_umidrelmed2m_2016-09-22 _ 2016-09-27.csv,TopDownReg_48_50,5dias_umidrelmed2m_2016-09-22 _ 2016-09-27,2.0597881082543554,2.7469631483497907,23.857142857142858,8.007649404138009,283.2825186039554,-0.18027221544992597,7
TopDownIndex_25_0_5dias_umidrelmed2m_2016-09-22 _ 2016-09-27.csv,TopDownIndex_25,5dias_umidrelmed2m_2016-09-22 _ 2016-09-27,1.287150362359324,2.0348702296807932,2.206896551724138,4.800713383373189,5399.457315994892,-0.4015478329380542,145
Full_0_5dias_umidrelmed2m_2018-04-14 _ 2018-04-19.csv,full,5dias_umidrelmed2m_2018-04-14 _ 2018-04-19.csv,2.9420516153409384,3.725033563059235,18.0,0.0,54.97839613899123,0.0,1
